origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel
3641,2e-08,687.16,20.0,-0.91354,0.18005,-9.491000000000002e-10,0
3623,2e-08,690.35,20.0,-1.0425,0.3993,-1.8678e-09,0
3608,2e-08,691.64,20.0,-1.1323,0.54456,-2.4559e-09,0
3643,2e-08,687.03,20.0,-0.92309,0.15309,-5.6781e-11,0
3610,2e-08,692.04,20.0,-1.15,0.55003,-1.5537999999999998e-10,0
3602,2e-08,692.48,20.0,-1.1971,0.61848,-2.6001999999999998e-09,0
3607,2e-08,692.43,20.0,-1.1989,0.60243,-8.3114e-10,0
3649,2e-08,688.4,20.0,-0.97155,0.11712,-3.9964e-11,0
3229,2e-08,247.52,20.0,-1.3144,1.1804,8.9264e-09,0
3628,2e-08,691.81,20.0,-1.1406,0.46448999999999996,-7.8456e-10,0
3612,2e-08,693.38,20.0,-1.3030000000000002,0.67879,-3.4144999999999997e-09,0
3642,2e-08,690.48,20.0,-1.0731,0.31218,-1.23e-09,0
3614,2e-08,693.69,20.0,-1.3218,0.6934,-1.6393e-09,0
3647,2e-08,689.9,20.0,-1.0644,0.25389,-1.8487e-09,0
3652,2e-08,689.63,20.0,-1.0326,0.13919,1.1641e-09,0
3636,2e-08,691.64,20.0,-1.1533,0.42462,1.2956000000000002e-10,0
3659,2e-08,690.17,20.0,-1.0949,0.13077,-1.9965999999999998e-11,0
3634,2e-08,692.47,20.0,-1.2303,0.50821,1.5082000000000002e-11,0
3627,2e-08,692.93,20.0,-1.2636,0.58302,-4.4606e-09,0
3635,2e-08,692.83,20.0,-1.2413,0.52113,8.2761e-10,0
3657,2e-08,691.21,20.0,-1.1536,0.23870999999999998,-1.6779000000000002e-09,0
3625,2e-08,693.3,20.0,-1.2978,0.6229899999999999,-2.8123000000000003e-09,0
3648,2e-08,692.67,20.0,-1.2658,0.45378,1.4604e-09,0
3661,2e-08,692.05,20.0,-1.2161,0.29412,1.4590999999999999e-09,0
3646,2e-08,693.02,20.0,-1.2938,0.50315,7.4807e-10,0
3645,2e-08,693.06,20.0,-1.3018,0.52467,1.8032000000000001e-09,0
3638,2e-08,693.44,20.0,-1.3329,0.59448,-1.3095e-09,0
3658,2e-08,692.82,20.0,-1.2896,0.41018000000000004,-3.0383999999999996e-10,0
3663,2e-08,692.73,20.0,-1.2755,0.34953,1.0714999999999999e-09,0
3632,2e-08,693.94,20.0,-1.376,0.67825,1.8800999999999997e-09,0
3639,2e-08,693.71,20.0,-1.3654,0.62826,3.4869e-09,0
3640,2e-08,694.36,20.0,-1.4527,0.73274,2.4649e-09,0
3651,2e-08,693.53,20.0,-1.3541,0.54819,2.2601e-09,0
3672,2e-08,692.58,20.0,-1.2799,0.24056999999999998,1.2784999999999999e-09,0
3654,2e-08,693.49,20.0,-1.3513,0.5263899999999999,2.8012e-09,0
3666,2e-08,693.08,20.0,-1.3214,0.39061,-2.1633e-09,0
3681,2e-08,692.5,20.0,-1.2787,0.038754000000000004,3.9191000000000005e-10,0
3675,2e-08,692.58,20.0,-1.3016,0.24386999999999998,1.1145e-09,0
3677,2e-08,692.58,20.0,-1.2988,0.21145,3.5662e-10,0
3660,2e-08,693.68,20.0,-1.3915,0.52484,-3.3803e-09,0
3650,2e-08,694.6,20.0,-1.5193,0.76825,2.9438999999999997e-09,0
3668,2e-08,693.85,20.0,-1.4240000000000002,0.52152,1.8765000000000003e-09,0
3684,2e-08,693.13,20.0,-1.3722,0.233,-7.431e-10,0
3644,2e-08,694.54,20.0,-1.5279,0.74849,7.8312e-12,0
3653,2e-08,694.22,20.0,-1.4698,0.68187,-3.8149000000000004e-10,0
