origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel,cluster,nodeCluster
3360,3.552e-08,235.54,35.52,5.7744,0.5453345826090216,-0.6499044430611659,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.6499044471342534,-0.5453345777549048,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.7347272939008297,-0.4241949972561721,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.7972258236321792,-0.2901664664188359,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.8355010501281968,-0.14732137433068065,1,2,6
3360,3.552e-08,235.54,35.52,5.7744,0.84839,3.1682997922043805e-09,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.99742,1.34e-09,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.9822669487767479,0.17320016668819205,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.9372682133659738,0.34113773261507657,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.8637910575726748,0.498710001160474,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.7640680475943956,0.6411292186800475,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.6411292166270485,0.7640680493170665,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.4987099988395261,0.8637910589126748,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.3411377300967005,0.9372682142825876,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.17320016404890734,0.982266949242125,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-1.3399999389256395e-09,0.99742,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.17320016668819202,0.9822669487767479,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.34113773261507657,0.9372682133659738,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.4987100011604738,0.8637910575726748,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.6411292186800476,0.7640680475943956,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.7640680493170664,0.6411292166270486,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.8637910589126749,0.4987099988395259,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.9372682142825876,0.34113773009670056,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.982266949242125,0.1732001640489072,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.99742,-1.3399998778512784e-09,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.9822669487767479,-0.1732001666881922,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.9372682133659738,-0.3411377326150765,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.8637910575726747,-0.4987100011604742,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.7640680475943956,-0.6411292186800475,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.6411292166270486,-0.7640680493170664,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.4987099988395264,-0.8637910589126747,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.34113773009670023,-0.9372682142825876,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,-0.17320016404890726,-0.982266949242125,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,1.3399998167769184e-09,-0.99742,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.1732001666881917,-0.982266948776748,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.34113773261507685,-0.9372682133659735,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.4987100011604742,-0.8637910575726747,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.6411292186800475,-0.7640680475943957,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.7640680493170663,-0.6411292166270487,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.8637910589126746,-0.4987099988395264,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.9372682142825876,-0.3411377300967003,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.982266949242125,-0.1732001640489073,1,2,6
1656,4.888e-08,226.31,48.88,4.9418,0.99742,1.3399997557025578e-09,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.80204,-1.4970999999999995e-09,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.78985521048588,0.1392727829416291,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.7536710700871684,0.2743138343461055,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.6945870155998212,0.4010199987034733,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.6143982861214624,0.5155413733261468,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.5155413756198371,0.6143982841968277,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.4010200012965267,0.6945870141027211,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.27431383715973323,0.7536710690630914,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,0.13927278589034056,0.7898552099659426,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,1.4971000491107855e-09,0.80204,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,-0.1392727829416291,0.78985521048588,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,-0.2743138343461055,0.7536710700871684,1,2,6
3243,1.1039e-07,241.85,110.39,7.1539,-0.4010199987034732,0.6945870155998212,1,2,6
