Area,Length,Points_0,Points_1,Points_2,Points_Magnitude,VertexCount,Volume,Block Number,vtkOriginalCellIds,Point ID,vtkOriginalPointIds
0,0,0.91701,0.0555565,0.0180514,0.918869,0,9.43794e-08,1,154363,55,197145
0,0,0.939594,0.054686,0.0226517,0.941456,0,9.43794e-08,1,154363,56,224970
0,0,0.91701,0.0539689,0.0223547,0.918869,0,9.43794e-08,1,154363,57,224969
0,0,0.939594,0.0571616,0.0185729,0.941514,0,9.53725e-08,1,154552,58,197334
0,0,0.91701,0.0564083,0.0183282,0.918926,0,9.39193e-08,1,154583,59,197333
0,0,0.939594,0.0555282,0.0230005,0.941514,0,9.53725e-08,1,154552,60,225158
0,0,0.91701,0.0547964,0.0226974,0.918926,0,9.39193e-08,1,154583,61,225157
0,0,0.91701,0.0572561,0.0186036,0.918984,0,9.3892e-08,1,154741,62,197521
0,0,0.894899,0.0565039,0.0183592,0.896869,0,9.14523e-08,1,154740,63,197520
0,0,0.894899,0.0556708,0.0180885,0.896811,0,9.10131e-08,1,154646,64,197332
0,0,0.91701,0.05562,0.0230386,0.918984,0,9.3892e-08,1,154741,65,225345
0,0,0.894899,0.0548893,0.0227359,0.896869,0,9.14523e-08,1,154740,66,225344
0,0,0.894899,0.05408,0.0224007,0.896811,0,9.10131e-08,1,154646,67,225156
0,0,0.939594,0.0580244,0.0188533,0.941572,0,9.63318e-08,1,154741,68,197522
0,0,0.939594,0.0563664,0.0233477,0.941572,0,9.63318e-08,1,154741,69,225346
0,0,0.91701,0.0580996,0.0188777,0.919042,0,9.38579e-08,1,154898,70,197709
0,0,0.894899,0.0573328,0.0186286,0.896927,0,9.23884e-08,1,154929,71,197708
0,0,0.91701,0.0564394,0.023378,0.919042,0,9.38579e-08,1,154898,72,225533
0,0,0.894899,0.0556945,0.0230694,0.896927,0,9.23884e-08,1,154929,73,225532
0,0,0.939594,0.0588829,0.0191322,0.941631,0,9.6797e-08,1,154836,74,197710
0,0,0.939594,0.0572002,0.0236931,0.941631,0,9.6797e-08,1,154836,75,225534
0,0,0.91701,0.05894,0.0191508,0.919102,0,9.34449e-08,1,155118,76,197897
