,Points:0,Points:1,Points:2
251,0.20127,0.07329071602710405,-0.19602484336411136
252,0.20127,0.10621662219493154,-0.18031998624996945
253,0.20127,0.13591519004557023,-0.15913619759993802
254,0.20127,0.161484043623079,-0.13311713611263395
255,0.20127,0.1821462862499694,-0.10305337780506857
256,0.20127,0.1972741061396227,-0.06985839476042136
257,0.20127,0.20640785213973786,-0.03454079974103232
258,0.20127,0.20926999999999998,0.0018262999999999487
259,0.20127,0.20926999999999998,-0.0018262999999999999
260,0.20127,0.20640785213973786,0.03454079974103231
261,0.20127,0.1972741061396227,0.06985839476042138
262,0.20127,0.18214628624996948,0.10305337780506846
263,0.20127,0.16148404362307903,0.13311713611263387
264,0.20127,0.13591519004557026,0.159136197599938
265,0.20127,0.10621662219493154,0.18031998624996945
266,0.20127,0.07329071602710402,0.19602484336411136
267,0.20127,0.038137908539684726,0.20577358480599164
268,0.20127,0.0018263000000000127,0.20926999999999998
269,0.20127,-0.0345407997410323,0.20640785213973786
270,0.20127,-0.06985839476042138,0.1972741061396227
271,0.20127,-0.10305337780506843,0.18214628624996948
272,0.20127,-0.1331171361126339,0.16148404362307903
273,0.20127,-0.15913619759993797,0.1359151900455703
274,0.20127,-0.18031998624996948,0.1062166221949315
275,0.20127,-0.19602484336411136,0.07329071602710402
276,0.20127,-0.20577358480599164,0.03813790853968469
277,0.20127,-0.20926999999999998,0.0018263000000000255
278,0.20127,-0.20640785213973786,-0.03454079974103234
279,0.20127,-0.1972741061396227,-0.06985839476042137
280,0.20127,-0.18214628624996945,-0.1030533778050685
281,0.20127,-0.16148404362307903,-0.13311713611263387
282,0.20127,-0.1359151900455703,-0.15913619759993797
283,0.20127,-0.10621662219493161,-0.18031998624996942
284,0.20127,-0.07329071602710395,-0.19602484336411136
285,0.20127,-0.038137908539684705,-0.20577358480599164
286,0.20127,-0.0018263000000000383,-0.20926999999999998
287,0.20127,0.03454079974103223,-0.2064078521397379
288,0.20127,0.06985839476042144,-0.1972741061396227
289,0.20127,0.1030533778050685,-0.18214628624996945
290,0.20127,0.13311713611263387,-0.16148404362307905
291,0.20127,0.15913619759993797,-0.13591519004557032
292,0.20127,0.1803199862499694,-0.10621662219493161
293,0.20127,0.19602484336411136,-0.07329071602710396
294,0.20127,0.20577358480599164,-0.03813790853968472
