temperature,pressure
586.003,574.225
586.049,574.486
586.559,576.789
586.16,575.012
586.535,576.706
586.836,574.892
586.775,577.542
586.858,577.832
586.892,576.555
586.369,575.912
586.442,576.34
586.568,576.814
586.568,576.814
586.492,576.536
586.469,576.444
586.464,576.323
586.611,576.957
586.479,576.462
586.68,577.191
586.556,576.509
586.505,576.564
586.596,576.902
586.571,576.815
586.537,576.656
586.533,576.675
586.59,576.874
586.576,576.828
586.552,576.731
586.708,576.75
586.56,576.774
586.557,576.757
586.561,576.778
586.561,576.78
586.566,576.791
594.633,603.345
593.75,601.014
593.064,599.344
593.565,600.981
592.647,598.229
597.88,608.635
594.429,603.549
592.107,596.308
594.212,602.75
592.278,596.981
594.429,603.549
594.429,603.549
593.294,600.58
594.638,604.305
593.676,601.898
593.408,601.11
593.491,601.323
592.604,598.265
594.412,604.103
596.221,606.964
593.796,602.452
596.633,608.087
595.8,607.242
592.934,599.448
594.114,603.49
595.763,607.151
594.149,603.601
593.706,602.172
592.845,599.131
592.942,599.481
593.709,602.177
594.16,603.605
592.887,599.286
594.456,604.419
593.113,600.085
592.807,598.996
594.41,604.235
592.807,598.996
593.012,599.717
593.022,599.731
595.543,606.223
594.524,604.306
594.013,602.792
592.349,597.341
594.753,604.407
592.019,596.163
594.117,602.838
593.533,601.1
593.93,602.174
591.921,595.816
592.019,596.158
593.615,600.519
559.652,483.104
507.5,367.763
543.903,430.82
541.952,422.994
547.387,439.308
532.609,419.065
534.385,427.404
547.551,440.661
548.707,444.156
553.421,458.035
560.571,480.918
558.223,474.761
560.571,480.918
581.072,547.435
570.375,514.588
564.26,495.473
570.222,515.542
590.121,581.782
575.001,532.411
573.352,527.261
579.986,548.943
576.85,538.018
579.986,548.943
575.941,536.429
578.827,546.228
580.169,551.016
576.934,540.253
579.364,548.804
586.029,569.095
579.253,548.463
582.988,561.346
585.376,568.846
584.929,568.769
583.068,562.637
583.665,564.872
587.054,576.472
588.417,580.791
590.753,587.16
589.331,584.247
587.216,577.97
588.156,581.307
589.433,585.387
588.428,582.383
589.562,586.09
587.791,580.189
589.871,587.628
589.194,585.363
590.625,590.099
589.522,586.591
592.922,595.229
591.281,592.811
590.39,589.853
590.299,589.533
591.776,594.678
593.18,597.925
593.18,597.925
595.531,601.775
592.699,597.644
591.607,594.414
592.356,597.012
594.497,600.924
592.767,598.203
509.963,335.228
470.132,283.696
334.517,116.83
471.431,285.732
507.924,332.732
436.817,241.561
510.484,336.593
510.624,336.848
511.012,337.897
510.829,337.88
505.306,330.598
496.219,319.342
511.901,340.011
440.188,246.599
441.87,249.185
511.081,339.874
477.66,296.177
514.403,346.628
404.642,203.03
515.141,348.48
515.62,349.56
511.492,344.325
516.395,351.643
504.181,335.597
516.54,353.121
488.913,317.141
519.668,359.943
521.335,364.473
499.244,337.586
501.155,341.446
479.65,313.882
526.508,378.763
484.667,321.62
521.564,373.668
493.834,336.833
530.508,390.924
532.062,394.325
533.172,397.262
532.148,397.782
517.911,379.468
538.367,413.695
504.714,324.152
494.757,310.26
395.445,189.263
495.887,311.828
486.629,299.341
503.504,322.474
473.646,282.485
503.803,322.907
497.857,314.587
476.11,285.715
491.537,306.044
432.857,232.594
498.71,315.791
381.368,173.613
461.346,267.162
480.707,291.791
504.32,323.657
417.172,214.381
504.32,323.657
505.28,325.041
387.185,180.222
504.543,323.983
484.828,297.29
484.828,297.29
504.745,324.281
484.828,297.29
417.172,214.381
420.389,218.154
504.928,324.552
501.392,319.619
504.928,324.552
488.452,302.163
501.392,319.619
393.158,187.024
423.626,221.967
504.05,323.341
474.902,284.492
423.626,221.967
474.902,284.492
498.347,315.505
505.901,325.943
313.326,97.9534
368.236,159.02
506.065,326.184
498.347,315.505
498.347,315.505
491.585,306.399
502.803,321.658
481.787,293.51
405.553,201.213
500.56,318.605
494.251,310.028
503.533,322.717
348.113,136.649
501.165,319.451
505.729,325.802
505.827,325.961
466.797,274.398
506.31,326.628
353.131,142.236
487.562,301.213
487.562,301.213
506.172,326.468
446.405,249.334
472.155,281.306
487.562,301.213
418.459,216.172
449.592,253.25
506.229,326.573
449.592,253.25
499.166,316.798
421.744,220.02
503.06,322.126
479.372,290.741
492.227,307.527
455.826,260.981
493.551,309.335
455.826,260.981
458.853,264.772
505.888,326.131
458.853,264.772
494.767,311.001
483.578,296.304
461.808,268.497
369.243,160.22
505.524,325.635
501.726,320.393
501.726,320.393
464.68,272.14
467.459,275.689
470.139,279.132
410.537,207.166
498.689,316.413
498.689,316.413
470.139,279.132
413.815,210.985
503.817,323.41
503.817,323.41
475.172,285.656
506.443,327.073
505.571,325.853
479.736,291.637
454.242,259.384
420.425,218.74
420.425,218.74
501.404,320.212
504.415,324.292
353.513,142.47
457.277,263.196
505.863,326.32
501.941,320.967
506.733,327.596
501.941,320.967
495.591,312.474
457.277,263.196
481.835,294.408
433.707,234.582
463.112,270.596
465.895,274.157
465.895,274.157
437.003,238.573
505.344,325.695
499.216,317.464
499.216,317.464
489.008,303.976
490.512,306.002
503.997,323.923
500.603,319.394
446.69,250.456
412.499,209.6
501.771,321.053
504.866,325.218
501.771,321.053
452.893,258.194
480.313,292.939
502.28,321.775
502.743,322.436
502.759,322.436
261.132,38.2824
484.176,298.062
505.547,326.258
388.13,181.364
391.262,184.943
429.037,229.239
507.161,328.597
498.265,316.575
394.42,188.566
432.313,233.201
506.838,328.167
507.205,328.747
504.558,325.075
469.565,279.476
507.311,328.929
438.769,241.082
504.84,325.495
507.015,328.492
504.84,325.495
441.931,244.98
494.203,311.541
404.014,199.665
505.342,326.253
507.451,329.244
476.485,288.514
507.475,329.302
495.248,312.965
410.452,207.2
413.663,210.989
482.348,296.264
507.388,329.212
503.413,323.809
506.147,327.506
484.069,298.557
506.317,327.776
507.67,329.805
498.674,317.673
506.477,328.037
507.581,329.606
504.736,325.752
507.643,329.738
466.835,276.595
504.736,325.752
387.303,180.003
507.767,330.004
507.767,330.004
501.655,321.869
502.127,322.553
475.119,287.528
443.498,247.415
443.498,247.415
507.883,330.353
446.066,250.684
506.382,328.358
448.532,253.849
508.171,330.981
497.359,316.784
506.983,329.061
508.37,331.391
412.134,209.21
484.212,299.966
367.662,156.686
508.857,332.636
505.735,328.336
506.404,329.602
506.755,330.297
508.6,332.735
501.959,324.097
491.241,310.521
592.164,589.289
594.147,600.042
591.706,595.01
591.083,592.84
591.769,594.962
591.769,594.962
590.906,592.21
590.75,591.648
590.76,591.513
590.332,590.168
590.317,590.119
590.098,589.344
589.966,588.21
589.929,586.449
589.575,587.341
589.443,587.007
589.26,586.367
588.942,585.235
588.456,583.114
588.15,580.634
587.738,579.289
587.399,578.241
588.458,583.506
588.194,582.576
586.029,573.809
586.494,575.25
