"origId","d","T","d_nm","Points:0","Points:1","Points:2"
2979,2e-08,500,20,16.345,0.095513,-3.4354e-10
2791,8.2215e-07,500,822.15,16.325,0.9733,1.2754e-09
3036,2e-08,500,20,16.331,0.51661,4.1322e-11
1924,2e-08,500,20,16.308,0.035606,9.145e-11
3007,2e-08,500,20,16.288,5.3632e-08,7.3313e-18
3030,2e-08,500,20,16.213,0.050897,-1.3971e-10
3064,2e-08,500,20,16.198,0.0014237,-5.9883e-28
2893,2e-08,500,20,16.145,0.30909,1.8518e-09
2919,2e-08,500,20,16.143,0.033094,5.8423e-11
3044,2e-08,500,20,16.103,0.24806,-2.4303e-10
2823,7.9835e-07,500,798.35,16.074,1.1077,-1.0066e-09
2876,2e-08,500,20,16.062,0.42858,-8.6271e-10
2751,2e-08,500,20,21.449,0.4733,-2.257e-09
2779,2e-08,500,20,21.461,0.33693,4.0148e-10
2800,2e-08,500,20,21.475,2.5794e-07,2.2508e-17
2819,2e-08,500,20,21.38,2.0058e-08,1.7503e-18
2579,5.246e-07,500,524.6,21.258,1.1267,4.1117e-10
2809,2e-08,500,20,21.153,3.7494e-07,-2.1422e-16
2829,2e-08,500,20,21.258,5.9174e-07,-5.1635e-17
2763,1.4597e-07,500,145.97,21.195,0.91299,-7.7784e-09
2704,2e-08,500,20,21.178,0.65637,6.5037e-10
2780,2e-08,500,20,21.103,0.46134,-1.4407e-09
2589,2e-08,500,20,21.169,0.13078,3.6344e-10
2821,2e-08,500,20,21.425,0.6305,-2.053e-10
2827,2e-08,500,20,21.204,0.14228,-5.4635e-10
2735,2e-08,500,20,21.145,0.26072,-1.6575e-10
2773,2e-08,500,20,21.111,0.0034258,-5.1756e-28
2850,2e-08,500,20,21.179,0.019398,1.0779e-10
2771,2e-08,500,20,20.96,0.60939,-4.0564e-09
2874,2e-08,500,20,21.042,0.049904,-8.8367e-11
2741,2e-08,500,20,20.998,0.82816,-1.3456e-09
2731,2e-08,500,20,21.029,0.044523,8.1154e-11
2845,2e-08,500,20,20.977,0.16195,1.0638e-10
2812,2e-08,500,20,20.972,3.45e-08,-3.2851e-17
2405,1.3915e-07,500,139.15,21.416,4.75,2.336e-09
2684,2e-08,500,20,20.914,0.0025735,-7.576e-28
2855,2e-08,500,20,20.853,0.41434,2.6543e-09
2887,2e-08,500,20,20.544,0.16543,4.3486e-10
2866,2e-08,500,20,20.939,0.53111,-7.3565e-10
2761,1.3118e-06,500,1311.8,21.007,1.0823,2.2591e-09
2675,2e-08,500,20,20.723,0.3787,1.1563e-09
2682,2e-08,500,20,20.708,0.021436,1.474e-10
2875,2e-08,500,20,20.651,0.1003,-5.1568e-10
1600,2e-08,500,20,20.659,0.11863,-6.1805e-10
2770,5.5832e-07,500,558.32,20.933,1.3269,-3.812e-09
2817,2e-08,500,20,20.627,0.15329,2.6446e-10
2822,2e-08,500,20,20.48,0.71072,1.6406e-09
2656,8.2358e-07,500,823.58,20.793,1.2344,-9.4376e-09
2789,2e-08,500,20,20.535,1.3295e-06,1.4001e-15
2575,2e-08,500,20,20.425,0.63435,-2.9402e-09
2796,2e-08,500,20,20.412,0.72368,1.8515e-09
2886,2e-08,500,20,20.43,0.39894,1.9017e-09
2622,9.9645e-07,500,996.45,20.815,1.1145,1.7441e-09
2848,2e-08,500,20,20.402,0.06748,2.0998e-10
2798,8.2961e-07,500,829.61,20.714,1.2369,8.0144e-09
2717,2e-08,500,20,20.363,0.31661,-1.1048e-09
